                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.278,                0.67838,                 0.9719,                0.89636,                0.94932,                0.97748,                0.52954,                 1.5935,                0.80037,                  1.049,              0.0011288,              0.0011288,              0.0011288
                     35,                 1.2277,                0.65109,                 0.9612,                0.94919,                0.91128,                0.96973,                0.51351,                  1.585,                0.78019,                 1.0818,              0.0011024,              0.0011024,              0.0011024
                     36,                 1.2172,                0.63391,                0.96728,                 0.9287,                0.95303,                0.97972,                0.54174,                 1.4806,                0.73179,                 1.0624,               0.001076,               0.001076,               0.001076
                     37,                 1.2406,                0.62882,                0.96372,                0.87389,                0.95122,                 0.9509,                0.55124,                 1.3951,                0.72888,                  1.049,              0.0010496,              0.0010496,              0.0010496
                     38,                 1.1504,                  0.622,                0.95995,                0.83313,                0.91328,                0.91361,                0.49138,                 1.4967,                0.76167,                 1.0387,              0.0010232,              0.0010232,              0.0010232
                     39,                 1.1466,                0.62235,                0.94376,                0.92422,                0.90244,                0.95073,                0.51926,                 1.5339,                0.74407,                 1.0189,              0.0009968,              0.0009968,              0.0009968
                     40,                 1.1611,                0.62738,                0.93457,                0.94078,                0.96878,                0.96995,                0.56985,                 1.4118,                 0.6766,                 1.0093,              0.0009704,              0.0009704,              0.0009704
                     41,                 1.1196,                0.59478,                0.93054,                0.92913,                0.95933,                0.97204,                0.55717,                 1.4599,                0.69095,                 1.0173,               0.000944,               0.000944,               0.000944
                     42,                 1.1471,                0.60485,                0.94226,                0.95117,                0.95018,                0.97428,                 0.5286,                 1.4786,                0.69914,                 1.0147,              0.0009176,              0.0009176,              0.0009176
                     43,                 1.1202,                0.59981,                0.93425,                0.90075,                0.97561,                 0.9715,                 0.5378,                 1.4821,                0.68625,                 1.0056,              0.0008912,              0.0008912,              0.0008912
